Year,Aug,Sep,Oct,Nov,Dec
1972,-0.396,-0.316,-0.299,-0.29,-0.364
1973,-0.146,-0.144,-0.229,-0.222,-0.251
1974,-0.481,-0.519,-0.521,-0.439,-0.374
1975,-0.198,-0.349,-0.367,-0.354,-0.335
1976,-0.198,-0.206,-0.306,-0.429,-0.445
1977,-0.158,-0.245,-0.237,-0.156,-0.218
1978,-0.24,-0.203,-0.22,-0.132,-0.195
1979,-0.128,-0.122,-0.1,-0.098,-0.072
1980,0.011,-0.02,-0.074,-0.209,-0.261
1981,-0.123,-0.044,-0.194,-0.144,-0.014
1982,-0.317,-0.315,-0.379,-0.425,-0.388
1983,-0.166,-0.224,-0.203,-0.166,-0.011
1984,-0.234,-0.217,-0.352,-0.432,-0.326
1985,-0.29,-0.256,-0.254,-0.304,-0.345
1986,-0.281,-0.229,-0.327,-0.406,-0.38
1987,0.27,0.185,0.037,-0.079,0.034
1988,-0.02,-0.107,-0.183,-0.16,-0.177
1989,0.1,-0.108,-0.136,-0.163,-0.166
1990,0.039,0.133,0.099,-0.067,-0.05
1991,-0.123,-0.052,-0.277,-0.276,-0.229
1992,-0.396,-0.385,-0.316,-0.35,-0.3
1993,-0.245,-0.181,-0.259,-0.335,-0.31
1994,-0.252,-0.169,-0.076,-0.037,-0.108
1995,0.165,0.036,0.084,0.109,0.024
1996,-0.026,-0.02,-0.163,-0.192,-0.173
1997,-0.003,0.091,0.132,0.033,0.113
1998,0.494,0.394,0.363,0.298,0.261
1999,0.288,0.166,-0.002,-0.067,-0.004
2000,0.084,0.083,-0.059,-0.072,-0.146
2001,0.158,0.267,0.232,0.137,0.194
2002,0.087,0.06,0.092,0,-0.015
2003,0.396,0.432,0.407,0.204,0.205
2004,0.297,0.221,0.222,0.201,0.168
2005,0.42,0.399,0.218,0.12,0.196
2006,0.381,0.344,0.314,0.269,0.151
2007,0.035,0.078,0.138,0.156,0.091
2008,0.155,0.178,0.082,-0.019,-0.002
2009,0.132,0.037,0.144,0.049,0.062
2010,0.505,0.428,0.303,0.215,0.187
2011,0.126,0.123,0.042,-0.092,-0.066
2012,0.41,0.427,0.308,0.144,0.12
2013,0.173,0.233,0.325,0.107,0.015
2014,0.313,0.288,0.27,0.043,0.037
2015,0.156,0.278,0.302,0.164,0.207
2016,0.434,0.435,0.358,0.368,0.313
2017,0.287,0.328,0.411,0.329,0.341
2018,0.09,0.139,0.121,-0.143,-0.083
2019,0.315,0.223,0.136,0.087,0.142
2020,0.425,0.296,0.289,0.113,0.163
2021,0.245,0.402,0.475,0.445,0.252
2022,0.358,0.662,0.483,0.282,0.218
