Year,Aug,Sep,Oct,Nov,Dec
1972,61.91935484,50.03333333,38.87096774,25.83333333,7.112903226
1973,65.43548387,53.53333333,48.20967742,27.83333333,11.64516129
1974,60.03225806,47.83333333,42.74193548,29.11666667,19.46774194
1975,61.91935484,50.9,46.64516129,31.28333333,11.79032258
1976,64.90322581,55.25,37.08064516,22.1,4.516129032
1977,58.61290323,53.15,44.27419355,28,11.27419355
1978,63.59677419,57.25,44.87096774,26.13333333,10.0483871
1979,62.01612903,56.83333333,42.98387097,29.41666667,22.22580645
1980,63.58064516,52.91666667,38.90322581,30.01666667,11.58064516
1981,64.27419355,52.88333333,40.43548387,34.61666667,14.79032258
1982,60.75806452,54.31666667,45.06451613,24.38333333,19.59677419
1983,69.66129032,56.55,44.87096774,31.53333333,1.774193548
1984,67.70967742,51.9,45.70967742,28.38333333,13.16129032
1985,59.66129032,52.08333333,42.67741935,19.9,2.967741935
1986,60.74193548,52.66666667,43.35483871,23.96666667,18.80645161
1987,63.41935484,57.21666667,39.41935484,32.2,20.35483871
1988,64.51612903,55.33333333,38.5483871,28.83333333,13.51612903
1989,64.77419355,55.83333333,44.41935484,23.15,4.096774194
1990,64.03225806,56.21666667,42.11290323,31.4,12.61290323
1991,66.29032258,52.93333333,40.38709677,21.96666667,15.88709677
1992,60.51612903,53.78333333,41.62903226,27.3,15.87096774
1993,64.96774194,49.51666667,39.9516129,24.33333333,16.9516129
1994,62.43548387,58.43333333,47.19354839,33.63333333,21.30645161
1995,67.35483871,55.05,43.72580645,20.6,12.11290323
1996,65.41935484,56.15,43.61290323,21.56666667,11.17741935
1997,60.96774194,57.45,43.85483871,24.9,22.64516129
1998,67.32258065,59.53333333,46.51612903,32.3,18.83870968
1999,63.75806452,54.7,42.48387097,36.43333333,19.96774194
2000,64.96774194,54.1,47.06451613,29.06666667,4.451612903
2001,64.96774194,55.56666667,42.32258065,39.66666667,22.25806452
2002,63.87096774,58.23333333,35.90322581,25.8,19.77419355
2003,67.77419355,56.53333333,44.87096774,26.93333333,20.70967742
2004,59.03225806,59.4,45.51612903,34.23333333,14.80645161
2005,64.70967742,59.68333333,45.93548387,30.65,17.69354839
2006,65.9516129,54.33333333,39.77419355,31.8,23.82258065
2007,65.11290323,57.4,47.74193548,28.85,13.35483871
2008,64.40322581,56.15,44.56451613,28.86666667,7.032258065
2009,62.20967742,62.05,39.0483871,37.88333333,12.38709677
2010,68.14516129,52.01666667,46.90322581,30.48333333,12.82258065
2011,66.75806452,56.23333333,48.46774194,33.1,21.74193548
2012,66.14516129,56.2,42.46774194,30.93333333,18.35483871
2013,68.87096774,60.06666667,45.12903226,28.9,6.129032258
2014,64.64516129,57.03333333,44.67741935,22.23333333,21.90322581
2015,65.32258065,61.56666667,46.38709677,36.5,26.93548387
2016,67.25806452,59.76666667,47.90322581,40.4,16.48387097
2017,61.48387097,58.2,46.29032258,26.1,11.5483871
2018,67.22580645,58.96666667,41.41935484,24.03333333,22.70967742
2019,66.4516129,58.93333333,44.4516129,26.66666667,18.51612903
2020,66.80645161,54.93333333,38.25806452,34.2,20.5483871
2021,68.29032258,59.96666667,50.25806452,31.46666667,19.19354839
2022,65.38709677,58.16666667,45.83870968,31.36666667,14.51612903
